,__run_id,__done,generation,model_size,task,run,rep,duration_ms,cpu_joules,gpu_joules,energy_consumption_total_joules,response_length_sum_characters,response_token_count,accuracy
424,run_24_repetition_15,DONE,3.2,3B,BoolQ,24,15,86837.0,4793.630981445342,29871.637781445315,34665.26876289066,51178.0,10942.0,1.0
425,run_28_repetition_11,DONE,3.2,3B,WiC,28,11,100841.0,5598.460693359373,34208.999893359374,39807.46058671875,55758.0,12758.0,1.0
426,run_16_repetition_8,DONE,3.1,8B,WiC,16,8,245897.0,13244.268310546875,87579.11051054674,100823.37882109362,63916.0,14562.0,1.0
427,run_26_repetition_17,DONE,3.2,3B,COPA,26,17,94834.0,5356.254821777344,32545.612821777322,37901.867643554666,56710.0,11903.0,1.0
428,run_11_repetition_15,DONE,3.0,8B,WSC,11,15,125836.0,6754.835693359375,44621.3292933594,51376.16498671877,30766.0,7419.0,1.0
429,run_25_repetition_13,DONE,3.2,3B,CB,25,13,109841.0,6028.7008666992115,37427.70986669919,43456.4107333984,67961.0,13729.0,0.975
430,run_3_repetition_19,DONE,2.0,7B,RTE,3,19,188865.0,10162.146545410156,67969.93394541024,78132.0804908204,54273.0,12250.0,1.0
431,run_4_repetition_5,DONE,2.0,7B,WiC,4,5,202892.0,10964.281982421875,73222.5867824218,84186.86876484368,53640.0,13138.0,1.0
432,run_17_repetition_20,DONE,3.1,8B,WSC,17,20,121846.0,6659.0001220703125,43387.0335220703,50046.03364414061,29189.0,7126.0,0.9666666666666668
433,run_18_repetition_17,DONE,3.2,1B,BoolQ,18,17,52823.0,3273.8673095703125,17044.57730957031,20318.444619140624,71714.0,15104.0,0.9047619047619048
434,run_21_repetition_24,DONE,3.2,1B,RTE,21,24,35814.0,2113.0928955078125,11304.764095507811,13417.856991015624,51479.0,10444.0,0.9714285714285715
435,run_26_repetition_20,DONE,3.2,3B,COPA,26,20,93843.0,5097.391418457031,31641.03121845702,36738.42263691405,56710.0,11903.0,1.0
436,run_7_repetition_15,DONE,3.0,8B,CB,7,15,221689.0,11868.198120117202,78892.12052011723,90760.31864023443,65239.0,13110.0,0.8428571428571429
437,run_6_repetition_9,DONE,3.0,8B,BoolQ,6,9,121656.0,6577.762268066421,43503.640868066424,50081.403136132845,33226.0,7085.0,1.0
438,run_5_repetition_8,DONE,2.0,7B,WSC,5,8,177663.0,9616.466674804688,64055.823674804684,73672.29034960936,45028.0,11578.0,0.9266666666666667
439,run_17_repetition_7,DONE,3.1,8B,WSC,17,7,122847.0,6581.113098144531,43566.65989814453,50147.77299628906,29189.0,7126.0,1.0
440,run_23_repetition_28,DONE,3.2,1B,WSC,23,28,27810.0,1619.0521850585938,8860.865185058596,10479.91737011719,32024.0,7910.0,0.6428571428571429
441,run_4_repetition_16,DONE,2.0,7B,WiC,4,16,202666.0,10817.397583007812,73076.67398300779,83894.0715660156,53640.0,13138.0,1.0
442,run_20_repetition_4,DONE,3.2,1B,COPA,20,4,44817.0,2608.4622192382812,14396.825819238278,17005.28803847656,63385.0,13054.0,1.0
443,run_3_repetition_26,DONE,2.0,7B,RTE,3,26,188673.0,10145.053955078125,67933.93015507805,78078.98411015618,54273.0,12250.0,0.8914285714285715
444,run_11_repetition_8,DONE,3.0,8B,WSC,11,8,126863.0,6844.502746582031,45126.61334658202,51971.11609316405,30766.0,7419.0,0.96
445,run_22_repetition_18,DONE,3.2,1B,WiC,22,18,42816.0,2579.1222534179688,13816.721053417974,16395.843306835945,55242.0,12413.0,1.0
446,run_15_repetition_1,DONE,3.1,8B,RTE,15,1,156851.0,8387.458129882812,55256.361529882844,63643.81965976566,46036.0,9180.0,0.9777777777777779
