__run_id,__done,generation,model_size,task,energy
run_6_repetition_3,DONE,3,8B,BoolQ,7272.926025390625
run_28_repetition_19,DONE,3.2,3B,WiC,6044.47216796875
run_29_repetition_17,DONE,3.2,3B,WSC,4445.595520019531
run_10_repetition_17,DONE,3,8B,WiC,14100.585876464844
run_5_repetition_11,DONE,2,7B,WSC,10462.057556152344
run_1_repetition_18,DONE,2,7B,CB,12120.928100585938
run_1_repetition_25,DONE,2,7B,CB,12148.722412109375
run_0_repetition_12,DONE,2,7B,BoolQ,12264.960571289062
run_8_repetition_23,DONE,3,8B,COPA,11473.951599121094
run_6_repetition_11,DONE,3,8B,BoolQ,7283.095642089844
run_17_repetition_8,DONE,3.1,8B,WSC,7310.283935546875
run_24_repetition_3,DONE,3.2,3B,BoolQ,5363.944396972656
run_5_repetition_24,DONE,2,7B,WSC,10477.901245117188
run_4_repetition_23,DONE,2,7B,WiC,11577.134460449219
run_4_repetition_25,DONE,2,7B,WiC,11470.973449707031
run_17_repetition_1,DONE,3.1,8B,WSC,7265.8133544921875
run_2_repetition_11,DONE,2,7B,COPA,10863.719665527344
run_9_repetition_19,DONE,3,8B,RTE,11433.759948730469
run_17_repetition_21,DONE,3.1,8B,WSC,7296.8282470703125
run_29_repetition_11,DONE,3.2,3B,WSC,4457.287292480469
run_8_repetition_22,DONE,3,8B,COPA,11345.840942382812
run_27_repetition_3,DONE,3.2,3B,RTE,5655.912048339844
run_16_repetition_25,DONE,3.1,8B,WiC,13961.884216308594
run_3_repetition_0,DONE,2,7B,RTE,10806.474609375
run_20_repetition_7,DONE,3.2,1B,COPA,3274.9894409179688
run_16_repetition_15,DONE,3.1,8B,WiC,13756.2021484375
run_19_repetition_14,DONE,3.2,1B,CB,3723.5556030273438
run_1_repetition_16,DONE,2,7B,CB,12016.779174804688
run_13_repetition_28,DONE,3.1,8B,CB,9312.246826171875
run_16_repetition_4,DONE,3.1,8B,WiC,14121.696228027344
run_6_repetition_7,DONE,3,8B,BoolQ,7192.855224609375
run_26_repetition_0,DONE,3.2,3B,COPA,5767.993103027344
run_16_repetition_26,DONE,3.1,8B,WiC,13771.051818847656
run_4_repetition_11,DONE,2,7B,WiC,11510.001708984375
run_5_repetition_15,DONE,2,7B,WSC,251895.1275024414
run_12_repetition_24,DONE,3.1,8B,BoolQ,8114.866516113281
run_3_repetition_17,DONE,2,7B,RTE,10971.607727050781
