run,repetition,__done,generation,model_size,task,tokens,duration_ms,time(s),energy,accuracy
7,1,DONE,3.0,8B,CB,13110,221694,"221,69",90849.75589160148,0.9333333333333332
0,19,DONE,2.0,7B,BoolQ,13756,211681,"211,68",87034.22254960927,0.96
7,13,DONE,3.0,8B,CB,13110,222874,"222,87",90579.53528164064,0.961111111111111
2,24,DONE,2.0,7B,COPA,12554,191856,"191,86",77987.54300214851,1.0
0,6,DONE,2.0,7B,BoolQ,13756,211875,"211,88",86751.7626833984,0.9266666666666665
4,27,DONE,2.0,7B,WiC,13138,202884,"202,88",83077.10538945318,1.0
21,0,DONE,3.2,1B,RTE,10983,37817,"37,82",14181.607806640628,1.0
27,24,DONE,3.2,3B,RTE,11415,90849,"90,85",35290.119921484365,0.9777777777777779
10,3,DONE,3.0,8B,WiC,14810,250875,"250,88",100849.68349238273,0.975
2,18,DONE,2.0,7B,COPA,12554,191669,"191,67",78309.66265429696,1.0
17,16,DONE,3.1,8B,WSC,7126,121867,"121,87",49297.15752597652,1.0
1,27,DONE,2.0,7B,CB,13678,211870,"211,87",86571.37078085938,0.9314285714285713
21,29,DONE,3.2,1B,RTE,10983,37820,"37,82",14224.984568359368,0.9428571428571428
26,23,DONE,3.2,3B,COPA,11640,92849,"92,85",35802.1554759766,1.0
25,20,DONE,3.2,3B,CB,14062,111837,"111,84",43085.15227441409,0.9777777777777779
20,14,DONE,3.2,1B,COPA,11304,38818,"38,82",14309.565560351566,0.8
18,28,DONE,3.2,1B,BoolQ,14644,50823,"50,82",18906.61789277345,0.888888888888889
0,20,DONE,2.0,7B,BoolQ,13756,211879,"211,88",86221.52657480474,0.9538461538461538
23,11,DONE,3.2,1B,WSC,7583,26807,"26,81",9905.329608398437,0.9333333333333332
11,18,DONE,3.0,8B,WSC,7419,125660,"125,66",50123.14654843754,0.9714285714285715
11,19,DONE,3.0,8B,WSC,7419,126647,"126,65",50309.44224277345,0.86
26,6,DONE,3.2,3B,COPA,11640,91630,"91,63",35927.11540351562,0.95
5,4,DONE,2.0,7B,WSC,11578,178688,"178,69",72416.71626269529,0.9199999999999999
29,29,DONE,3.2,3B,WSC,8275,65830,"65,83",25590.632559374924,1.0
23,22,DONE,3.2,1B,WSC,7583,26811,"26,81",9751.891798828065,0.7833333333333333
26,8,DONE,3.2,3B,COPA,11640,91832,"91,83",35470.32820351563,0.9095959595959595
